year,wind_gw,log_wind,log_electricity,log_gas,log_lcoe
1997,4.81,1.5706970841176697,8.128408193559272,1.007957920399979,5.147494476813453
1998,6.383,1.8536382062739203,8.15092956550721,0.883767540168595,5.081404364984463
1999,9.28,2.2278615467981093,8.16342829489359,0.7561219797213337,5.0689042022202315
2000,12.773,2.54733356806064,8.1940635452261,1.3506671834767394,5.135798437050262
2001,17.412,2.857159623690051,8.212052941297296,1.4011829736136412,5.003946305945459
2002,23.307,3.1487537446363936,8.221290757517602,1.1151415906193203,4.927253685157205
2003,28.171,3.3382930800157586,8.24564690087386,1.3635373739972745,4.795790545596741
2004,34.338,3.5362526126550202,8.267654328742497,1.4539530095937054,4.812184355372417
2005,40.704,3.706326367717657,8.283645706386634,1.8453002361560848,4.74493212836325
2006,47.977,3.8707217294041913,8.29776771947044,2.136530508663963,4.770684624465665
2007,56.485,4.033975116178892,8.309922989258318,2.1471001901536506,4.68213122712422
2008,64.417,4.165377573430276,8.315664350074435,2.596000697293587,4.727387818712341
2009,76.595,4.33853180046466,8.267294902793209,2.1644717908644115,4.709530201312334
2010,86.23,4.457018144964233,8.310119820279523,2.1150499691472033,4.672828834461906
2011,96.438,4.568900314815059,8.299285906897275,2.3532782073095637,4.624972813284271
2012,109.448,4.695449550617813,8.307187953242256,2.4397349311412793,4.532599493153256
2013,120.927,4.795187057749453,8.299509706771389,2.4672517145492794,4.543294782270004
2014,133.819,4.8964881406021945,8.278656775494547,2.307572634505085,4.430816798843313
2015,147.495,4.993794276900229,8.289941212057485,1.9198594718553708,4.290459441148391
2016,161.436,5.084108779291406,8.299658878866538,1.5173226235262947,4.204692619390966
2017,177.068,5.176533839586245,8.309578441719655,1.7439688053917064,4.143134726391533
2018,188.721,5.240269733940828,8.310365804586963,2.038619547159581,3.9889840465642745
2019,203.61,5.316206399383777,8.29357452725379,1.5686159179138452,3.8501476017100584
2020,216.638,5.37822775777583,8.263745059837172,1.1755733298042381,3.6635616461296463
2021,232.022,5.446832194756666,8.304544377194668,2.7800607370784824,3.5553480614894135
2022,251.629,5.5279557805052395,8.269552008501627,3.697343532526066,3.4965075614664802
